symbol,binance,bingx,bitget,bybit,lbank,mexc,okx,kcex
1000X,7,,,5,,,,
1INCH,4,4,4,4,4,4,4,
1R0R,,,,,,6,,
2MOON,,,,,,9,,
3ULL,,,,,8,7,,
42,7,5,,,,5,,
4EVER,,,,,,6,,
5IRE,,,,,,7,,
A,7,5,5,4,4,4,4,
A1X,,,,,,7,,
A2Z,7,6,6,6,6,6,,
A47,,,,,,6,,
A8,,,,,,5,,
AAPLON,,,,,2,2,,
AAPLX,,2,,,2,2,,
AARK,,,,,,6,,
AAST,,,,,,6,,
AAVE,3,2,2,2,2,2,2,
AB,,,,,6,6,,
ABBC,,,,,,6,,
ABEL,,,,,,5,,
ABEY,,,,,,5,,
ABNBON,,,,,,2,,
ABOND,,,,,,7,,
ABTON,,,,,,2,,
ABX,,,,,,5,,
ACA,,,,,5,6,,
ACE,6,4,4,4,4,4,4,
ACH,7,6,6,6,,6,6,
ACM,,,,,,4,5,
ACNON,,,,,,2,,
ACQ,,,,,,6,,
ACS,,,,,,7,,
ACT,7,5,5,5,5,5,5,
ACX,7,,5,5,5,5,,
ADA,5,5,4,4,4,4,4,
ADBEON,,,,,,2,,
ADO,,,,,,5,,
AERGO,7,5,5,5,5,5,5,
AERO,7,4,4,4,4,4,,
AEROBUD,,,,,6,6,,
AEVO,7,5,5,5,5,5,5,
AFC,,,,,,4,,
AGI,,,5,5,,5,,
AGIX,7,,,,4,,,
AGLD,7,4,4,4,4,4,4,
AGRS,,,,,,4,,
AGT,7,,,,6,6,,
AI,6,,5,,5,5,,
AI16Z,7,,,,,,,
AI3,,,,,,5,,
AI4,,,,,7,,,
AIA,7,,,,4,5,,
AIBOT,,,,,,7,,
AIC,,,,,,6,,
AICE,,,,,5,,,
AIDOGE,,,,,,14,,
AIG,,,,,6,,,
AIN,7,5,5,5,6,5,,
AINTI,,,,,5,,,
AIO,7,,5,5,,5,,
AIOT,7,5,,,,5,,
AIOZ,,,,5,3,,,
AIPAD,,,,,,5,,
AIPO,,,,,,6,,
AIRDROP,,,,,8,,,
AIT,,,,,,3,,
AITECH,,,,,5,6,,
AIX,,,,,,6,,
AIXBT,7,5,5,5,5,5,5,
AKE,7,7,,7,7,7,,
AKI,,,,,,6,,
AKITA,,,,,,11,,
AKT,7,4,4,4,,,,
AL,,,,,,5,,
ALCH,7,,5,5,5,5,,
ALE,,,,,,4,,
ALEO,,,,5,,4,,
ALEPH,,,,,,5,,
ALEX,,,,,,5,,
ALGO,4,4,4,5,4,4,4,
ALI,,,,,,5,,
ALICE,3,4,4,4,4,4,,
ALKIMI,,,,,,5,,
ALL,6,,,,6,,,
ALPACA,7,,,,,,,
ALPH,,,,,,4,,
ALPHA,5,,,,,6,,
ALPINE,6,4,,4,4,4,,
ALT,7,5,5,6,5,,,
ALU,,,,6,6,5,,
ALVA,,,,,,5,,
AMB,7,,,,,,,
AMDON,,,,,,2,,
AME,,,,,,7,,
AMI,,,,,,5,,
AMP,,,,,6,6,,
AMZNON,,,,,2,2,,
AMZNX,,,,,2,2,,
ANI,,,,,6,7,,
ANIME,7,6,6,6,6,6,6,
ANKR,6,6,6,6,6,6,,
ANLOG,,,,,,7,,
ANON,,,,,,4,,
ANT,3,,,,,9,,
ANYONE,,,,,,4,,
AO,,,,,,3,,
AOL,,,,,6,,,
AP3X,,,,,3,4,,
APE,4,4,4,4,4,4,4,
APEPE,,,,,11,9,,
APEX,,3,,4,,4,,
APFC,,,,,,5,,
